video_id,label,frames,label_id,shape,format,id
255.0,Zooming In With Two Fingers,37,24.0,"(100, 100)",JPEG,
258.0,Pushing Two Fingers Away,37,6.0,"(100, 132)",JPEG,
259.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
263.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
270.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
274.0,Doing other things,37,0.0,"(100, 176)",JPEG,
275.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
280.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
287.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
288.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
290.0,Turning Hand Counterclockwise,37,22.0,"(100, 176)",JPEG,
294.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
297.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
301.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
302.0,Zooming Out With Full Hand,37,25.0,"(100, 132)",JPEG,
304.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
305.0,Doing other things,37,0.0,"(100, 176)",JPEG,
306.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
310.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
312.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
314.0,No gesture,37,2.0,"(100, 132)",JPEG,
316.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
318.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
321.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
327.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
330.0,Sliding Two Fingers Down,37,10.0,"(100, 176)",JPEG,
331.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
332.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
336.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
339.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
343.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
347.0,Pulling Hand In,37,3.0,"(100, 132)",JPEG,
349.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
350.0,Doing other things,37,0.0,"(100, 176)",JPEG,
351.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
357.0,Pushing Hand Away,37,5.0,"(100, 176)",JPEG,
361.0,Pushing Hand Away,37,5.0,"(100, 176)",JPEG,
368.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
369.0,Swiping Right,37,17.0,"(100, 132)",JPEG,
370.0,Doing other things,37,0.0,"(100, 176)",JPEG,
373.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
381.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
383.0,Sliding Two Fingers Left,37,11.0,"(100, 132)",JPEG,
385.0,No gesture,37,2.0,"(100, 176)",JPEG,
387.0,Turning Hand Counterclockwise,37,22.0,"(100, 132)",JPEG,
391.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
396.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
398.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
400.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
403.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
405.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
407.0,No gesture,37,2.0,"(100, 132)",JPEG,
408.0,Rolling Hand Backward,37,7.0,"(100, 132)",JPEG,
410.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
413.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
414.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
415.0,Doing other things,37,0.0,"(100, 176)",JPEG,
419.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
424.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
429.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
431.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
433.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
439.0,Zooming In With Full Hand,37,23.0,"(100, 132)",JPEG,
440.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
443.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
447.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
451.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
452.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
454.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
456.0,No gesture,37,2.0,"(100, 132)",JPEG,
457.0,Doing other things,37,0.0,"(100, 176)",JPEG,
458.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
464.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
465.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
471.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
474.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
477.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
478.0,Rolling Hand Backward,37,7.0,"(100, 132)",JPEG,
480.0,Turning Hand Clockwise,37,21.0,"(100, 132)",JPEG,
482.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
484.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
486.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
487.0,Doing other things,37,0.0,"(100, 176)",JPEG,
489.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
492.0,No gesture,37,2.0,"(100, 132)",JPEG,
497.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
498.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
499.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
500.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
501.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
502.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
503.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
504.0,No gesture,37,2.0,"(100, 132)",JPEG,
505.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
511.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
517.0,Doing other things,37,0.0,"(100, 176)",JPEG,
521.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
523.0,Pushing Hand Away,37,5.0,"(100, 176)",JPEG,
524.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
526.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
528.0,Rolling Hand Forward,37,8.0,"(100, 132)",JPEG,
529.0,Zooming Out With Full Hand,37,25.0,"(100, 132)",JPEG,
531.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
533.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
540.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
542.0,Doing other things,37,0.0,"(100, 132)",JPEG,
543.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
544.0,Turning Hand Counterclockwise,37,22.0,"(100, 176)",JPEG,
545.0,Doing other things,37,0.0,"(100, 176)",JPEG,
546.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
547.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
548.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
549.0,Zooming In With Full Hand,37,23.0,"(100, 132)",JPEG,
550.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
551.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
555.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
556.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
557.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
563.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
564.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
566.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
570.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
573.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
574.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
577.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
579.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
580.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
586.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
590.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
592.0,Doing other things,37,0.0,"(100, 132)",JPEG,
596.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
597.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
602.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
607.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
614.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
618.0,Pushing Hand Away,37,5.0,"(100, 176)",JPEG,
622.0,Stop Sign,37,14.0,"(100, 132)",JPEG,
623.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
625.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
626.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
627.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
631.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
634.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
636.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
637.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
638.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
640.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
641.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
643.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
647.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
649.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
650.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
661.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
664.0,Doing other things,37,0.0,"(100, 176)",JPEG,
669.0,No gesture,37,2.0,"(100, 176)",JPEG,
671.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
674.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
675.0,Doing other things,37,0.0,"(100, 176)",JPEG,
681.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
684.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
686.0,Zooming Out With Full Hand,37,25.0,"(100, 132)",JPEG,
692.0,Doing other things,37,0.0,"(100, 176)",JPEG,
694.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
695.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
696.0,Doing other things,37,0.0,"(100, 176)",JPEG,
698.0,Sliding Two Fingers Down,37,10.0,"(100, 176)",JPEG,
700.0,Doing other things,37,0.0,"(100, 176)",JPEG,
702.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
710.0,Swiping Left,37,16.0,"(100, 132)",JPEG,
712.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
714.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
715.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
717.0,Turning Hand Clockwise,37,21.0,"(100, 132)",JPEG,
718.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
719.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
720.0,Swiping Right,37,17.0,"(100, 132)",JPEG,
721.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
729.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
730.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
732.0,Zooming Out With Two Fingers,37,26.0,"(100, 132)",JPEG,
735.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
736.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
738.0,Sliding Two Fingers Down,37,10.0,"(100, 176)",JPEG,
739.0,Turning Hand Counterclockwise,37,22.0,"(100, 176)",JPEG,
740.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
744.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
751.0,Doing other things,37,0.0,"(100, 176)",JPEG,
753.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
754.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
755.0,Stop Sign,37,14.0,"(100, 132)",JPEG,
756.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
759.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
761.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
764.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
771.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
772.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
779.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
784.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
785.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
786.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
795.0,Shaking Hand,37,9.0,"(100, 132)",JPEG,
796.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
799.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
800.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
801.0,Pulling Two Fingers In,37,4.0,"(100, 132)",JPEG,
803.0,Doing other things,37,0.0,"(100, 176)",JPEG,
806.0,Doing other things,37,0.0,"(100, 176)",JPEG,
811.0,Doing other things,37,0.0,"(100, 176)",JPEG,
819.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
821.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
823.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
828.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
830.0,Sliding Two Fingers Up,37,13.0,"(100, 132)",JPEG,
831.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
833.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
835.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
836.0,Doing other things,37,0.0,"(100, 176)",JPEG,
838.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
841.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
846.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
852.0,No gesture,37,2.0,"(100, 176)",JPEG,
854.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
860.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
861.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
863.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
872.0,Sliding Two Fingers Down,37,10.0,"(100, 176)",JPEG,
874.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
875.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
876.0,Stop Sign,37,14.0,"(100, 132)",JPEG,
878.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
885.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
887.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
888.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
889.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
890.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
891.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
892.0,Doing other things,37,0.0,"(100, 132)",JPEG,
893.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
894.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
895.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
896.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
897.0,No gesture,37,2.0,"(100, 132)",JPEG,
899.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
902.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
907.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
908.0,Sliding Two Fingers Right,37,12.0,"(100, 176)",JPEG,
909.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
912.0,Thumb Up,37,20.0,"(100, 176)",JPEG,
914.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
917.0,Doing other things,37,0.0,"(100, 176)",JPEG,
921.0,Turning Hand Counterclockwise,37,22.0,"(100, 176)",JPEG,
923.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
925.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
927.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
928.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
929.0,Doing other things,37,0.0,"(100, 176)",JPEG,
933.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
936.0,No gesture,37,2.0,"(100, 176)",JPEG,
937.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
939.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
940.0,Sliding Two Fingers Down,37,10.0,"(100, 176)",JPEG,
943.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
944.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
945.0,Turning Hand Counterclockwise,37,22.0,"(100, 132)",JPEG,
947.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
949.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
952.0,No gesture,37,2.0,"(100, 176)",JPEG,
953.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
955.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
956.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
958.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
961.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
965.0,Sliding Two Fingers Up,37,13.0,"(100, 132)",JPEG,
966.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
975.0,Doing other things,37,0.0,"(100, 176)",JPEG,
977.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
993.0,Sliding Two Fingers Right,37,12.0,"(100, 132)",JPEG,
1000.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
1002.0,Zooming Out With Two Fingers,37,26.0,"(100, 132)",JPEG,
1003.0,Swiping Left,37,16.0,"(100, 132)",JPEG,
1005.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
1006.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
1007.0,Sliding Two Fingers Down,37,10.0,"(100, 176)",JPEG,
1009.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
1011.0,Doing other things,37,0.0,"(100, 176)",JPEG,
1018.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
1019.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
1021.0,Turning Hand Counterclockwise,37,22.0,"(100, 176)",JPEG,
1022.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
1026.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
1028.0,Doing other things,37,0.0,"(100, 176)",JPEG,
1033.0,Swiping Down,37,15.0,"(100, 132)",JPEG,
1034.0,Doing other things,37,0.0,"(100, 176)",JPEG,
1036.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
1037.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
1038.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
1050.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
1051.0,Doing other things,37,0.0,"(100, 176)",JPEG,
1053.0,Doing other things,37,0.0,"(100, 176)",JPEG,
1054.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
1055.0,Pushing Hand Away,37,5.0,"(100, 176)",JPEG,
1056.0,Doing other things,37,0.0,"(100, 176)",JPEG,
1061.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
1063.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
1064.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
1065.0,Swiping Left,37,16.0,"(100, 132)",JPEG,
1066.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
1067.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
1070.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
1071.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
1072.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
1075.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
1081.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
1087.0,Swiping Right,37,17.0,"(100, 132)",JPEG,
